t,S,E,I,R,beta(t),R(t),new_infections,new_symptomatic
225.0,7887.489742861183,0.04070214031178503,0.14726071370800123,92113.32229428484,5e-06,0.22558220664582984,0.005807586844491385,0.010124910525319662
226.0,7887.484232675174,0.0366059037713095,0.13244061780195743,92113.34672080328,5e-06,0.22558204905451,0.005223116423393492,0.009105946211768533
227.0,7887.479277029616,0.03292191088715309,0.11911198733093535,92113.3686890722,5e-06,0.22558190732304703,0.004697466658592835,0.008189530071431118
228.0,7887.474820115429,0.029608673188180733,0.1071247238299024,92113.38844648759,5e-06,0.22558177985530126,0.0042247178091008725,0.007365341589099686
229.0,7887.4708117412765,0.02662887834789263,0.09634383729698155,92113.4062155431,5e-06,0.2255816652158005,0.0037995460228554636,0.00662409909151558
230.0,7887.467206766209,0.023948968472675285,0.08664792039434908,92113.42219634495,5e-06,0.22558156211351355,0.003417163153224587,0.0059574548439490765
231.0,7887.46396459259,0.02153876302391964,0.07792778490492347,92113.43656885951,5e-06,0.22558146938734808,0.0030732629763905316,0.005357901249731255
232.0,7887.4610487084465,0.01937111895733895,0.0700852306200345,92113.449494942,5e-06,0.22558138599306155,0.0027639726330263535,0.004818686307795759
233.0,7887.458426276006,0.017421625269954596,0.06303193835894295,92113.4611201604,5e-06,0.22558131099149378,0.0024858089666687723,0.00433373762934194
234.0,7887.4560677628615,0.015668327638909327,0.0566884792089789,92113.4715754303,5e-06,0.2255812435380178,0.0022356394465455473,0.0038975939400271963
235.0,7887.45394660821,0.01409148049284579,0.050983416709314715,92113.4809784946,5e-06,0.22558118287299478,0.0020106467566772764,0.003505343406180545
236.0,7887.452038924666,0.012673325813048673,0.04585250446455009,92113.48943524508,5e-06,0.22558112831324545,0.00180829714914359,0.003152568610211113
237.0,7887.450323228712,0.011397892877853021,0.04123796104345787,92113.49704091738,5e-06,0.22558107924434112,0.0016263118458075742,0.002835296735784334
238.0,7887.448780198599,0.010250818986311843,0.03708781821319025,92113.50388116422,5e-06,0.22558103511367994,0.0014626413326292742,0.0025499549717193644
239.0,7887.447392457604,0.009219186187253488,0.03335534011669516,92113.5100330161,5e-06,0.22558099542428744,0.0013154424521398186,0.0022933298973267387
240.0,7887.446144377528,0.008291375477290504,0.029998494548282174,92113.51556575244,5e-06,0.22558095972919728,0.0011830575508098927,0.0020625312132563447
