"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.975(R)"
151,157,0.318560781300189,0.0518834244429937,0.270860927152318,0.423013245033113
152,158,0.318641594915098,0.0669256790818667,0.238602941176471,0.423161764705882
153,159,0.318834668342828,0.0661461810564811,0.222336065573771,0.409836065573771
154,160,0.319112231696453,0.0453693198486929,0.265137614678899,0.397477064220184
155,161,0.319402427420099,0.0428085244151082,0.256377551020408,0.391071428571429
156,162,0.319692171777735,0.0633946527858348,0.219886363636364,0.412784090909091
157,163,0.319930642560851,0.0491339295460241,0.22373417721519,0.364240506329114
158,164,0.32005132559462,0.0547708472604315,0.228521126760563,0.395774647887324
159,165,0.320000581382229,0.0651562291833167,0.21015625,0.395703125
160,166,0.319845603464422,0.0812969581368138,0.140086206896552,0.379310344827586
161,167,0.319642668124869,0.0666173387526491,0.147596153846154,0.326923076923077
162,168,0.319390910550246,0.0794832665311881,0.135106382978723,0.361702127659574
163,169,0.319130862275619,0.0878051853075513,0.148214285714286,0.399404761904762
164,170,0.31886183457566,0.0863489452794717,0.1375,0.368421052631579
165,171,0.318674935234673,0.061694638127656,0.180147058823529,0.375735294117647
166,172,0.318327886280724,0.092228915419765,0.163333333333333,0.47
167,173,0.31737141072134,0.0599751002542771,0.230555555555556,0.399074074074074
168,174,0.315902995368509,0.0787682959346236,0.209,0.431
169,175,0.314310753035756,0.11930314960624,0.156818181818182,0.489772727272727
170,176,0.312075443421771,0.139044357430761,0.16125,0.5775
171,177,0.308838197003263,0.192895061629626,0.166666666666667,0.654166666666667
172,178,0.305622507847295,0.157961835773512,0.176470588235294,0.607352941176471
173,179,0.303120042104115,0.158542746504329,0.148333333333333,0.636666666666667
174,180,0.300548172103995,0.141374858995797,0.171153846153846,0.598076923076923
175,181,0.29685354967731,0.151211817574238,0.0909090909090909,0.525
176,182,0.291609804528841,0.161932770686548,0.0225,0.555
177,183,0.283093268521581,0.110492102890195,0.111111111111111,0.419444444444445
178,184,0.269090779513517,0.134370962471642,0,0.375
179,185,0.245177102377691,0.175610370615103,0,0.428571428571429
180,186,0.218115463656154,0.142061275144536,0,0.396428571428571
181,187,0.184842205237439,0.150584650484209,0,0.396428571428571
182,188,0.147441991226618,0.12508500511013,0,0.285714285714286
183,189,0.110144492579566,0.117610371764081,0,0.285714285714286
184,190,0.0895441560132162,0.117851130197758,0,0.295833333333333
185,191,0.0678326296638386,0.103279555898864,0,0.2
186,192,0.0460264585774802,0.120761472884912,0,0.25
187,193,0.0256933085663092,0.105409255338946,0,0.258333333333333
188,194,0.00918091209521411,0.158113883008419,0,0.3875
189,195,0,0,0,0
